date,jual
2026-06-15,17719
2026-06-12,17921
2026-06-11,17981
2026-06-10,17971
2026-06-09,18141
2026-06-08,18171
2026-06-05,18039
2026-06-04,18039
2026-06-03,17931
2026-06-02,17863
2026-05-29,17883
2026-05-26,17789
2026-05-25,17743
2026-05-22,17717
2026-05-21,17673
2026-05-20,17685
2026-05-19,17719
2026-05-18,17666
2026-05-13,17496
2026-05-12,17514
2026-05-11,17415
2026-05-08,17375
2026-05-07,17362
2026-05-06,17405
2026-05-05,17425
2026-05-04,17368
2026-04-30,17378
2026-04-29,17324
2026-04-28,17245
2026-04-27,17227
2026-04-24,17278
2026-04-23,17308
2026-04-22,17179
2026-04-21,17142
2026-04-20,17176
2026-04-17,17189
2026-04-16,17142
2026-04-15,17141
2026-04-14,17135
2026-04-13,17122
2026-04-10,17112
2026-04-09,17082
2026-04-08,17009
2026-04-07,17092
2026-04-06,17037
2026-04-02,17015
2026-04-01,17002
2026-03-31,16999
2026-03-30,16993
2026-03-27,16957
2026-03-26,16903
2026-03-25,16905
2026-03-17,16982
2026-03-16,16990
2026-03-13,16934
2026-03-12,16899
2026-03-11,16867
2026-03-10,16879
2026-03-09,16974
2026-03-06,16919
2026-03-05,16886
2026-03-04,16911
2026-03-03,16870
2026-03-02,16848
2026-02-27,16779
2026-02-26,16758
2026-02-25,16813
2026-02-24,16830
2026-02-23,16818
2026-02-20,16885
2026-02-19,16925
2026-02-18,16884
2026-02-13,16844
2026-02-12,16826
2026-02-11,16781
2026-02-10,16799
2026-02-09,16838
2026-02-06,16887
2026-02-05,16826
2026-02-04,16775
2026-02-03,16777
2026-02-02,16800
2026-01-30,16796
2026-01-29,16786
2026-01-28,16723
2026-01-27,16801
2026-01-26,16779
2026-01-23,16838
2026-01-22,16902
2026-01-21,16963
2026-01-20,16981
2026-01-19,16935
2026-01-15,16880
2026-01-14,16871
2026-01-13,16875
2026-01-12,16853
2026-01-09,16834
2026-01-08,16801
2026-01-07,16785
2026-01-06,16762
2026-01-05,16748
2026-01-02,16725
2025-12-31,16720
2025-12-30,16782
2025-12-29,16788
2025-12-24,16767
2025-12-23,16790
2025-12-22,16773
2025-12-19,16735
2025-12-18,16722
2025-12-17,16698
2025-12-16,16693
2025-12-15,16669
2025-12-12,16652
2025-12-11,16668
2025-12-10,16688
2025-12-09,16677
2025-12-08,16688
2025-12-05,16655
2025-12-04,16646
2025-12-03,16632
2025-12-02,16632
2025-12-01,16668
2025-11-28,16661
2025-11-27,16644
2025-11-26,16673
2025-11-25,16667
2025-11-24,16709
2025-11-21,16719
2025-11-20,16742
2025-11-19,16732
2025-11-18,16760
2025-11-17,16734
2025-11-14,16710
2025-11-13,16732
2025-11-12,16722
2025-11-11,16698
2025-11-10,16666
2025-11-07,16704
2025-11-06,16707
2025-11-05,16729
2025-11-04,16724
2025-11-03,16664
2025-10-31,16625
2025-10-30,16640
2025-10-29,16631
2025-10-28,16622
2025-10-27,16628
2025-10-24,16630
2025-10-23,16645
2025-10-22,16617
2025-10-21,16589
2025-10-20,16585
2025-10-17,16590
2025-10-16,16580
2025-10-15,16577
2025-10-14,16577
2025-10-13,16580
2025-10-10,16585
2025-10-09,16534
2025-10-08,16606
2025-10-07,16560
2025-10-06,16598
2025-10-03,16611
2025-10-02,16612
2025-10-01,16680
2025-09-30,16692
2025-09-29,16680
2025-09-26,16775
2025-09-25,16752
2025-09-24,16680
2025-09-23,16636
2025-09-22,16607
2025-09-19,16578
2025-09-18,16498
2025-09-17,16430
2025-09-16,16385
2025-09-15,16405
2025-09-12,16391
2025-09-11,16468
2025-09-10,16457
2025-09-09,16462
2025-09-08,16348
2025-09-04,16438
2025-09-03,16424
2025-09-02,16418
2025-09-01,16463
2025-08-29,16461
2025-08-28,16356
2025-08-27,16355
2025-08-26,16277
2025-08-25,16255
2025-08-22,16340
2025-08-21,16283
2025-08-20,16291
2025-08-19,16241
2025-08-15,16162
2025-08-14,16109
2025-08-13,16237
2025-08-12,16298
2025-08-11,16253
2025-08-08,16299
2025-08-07,16312
2025-08-06,16379
2025-08-05,16388
2025-08-04,16388
2025-08-01,16494
2025-07-31,16459
2025-07-30,16387
2025-07-29,16399
2025-07-28,16341
2025-07-25,16325
2025-07-24,16283
2025-07-23,16298
2025-07-22,16307
2025-07-21,16330
2025-07-18,16301
2025-07-17,16329
2025-07-16,16288
2025-07-15,16281
2025-07-14,16247
2025-07-11,16221
2025-07-10,16220
2025-07-09,16254
2025-07-08,16238
2025-07-07,16237
2025-07-04,16204
2025-07-03,16209
2025-07-02,16236
2025-07-01,16192
2025-06-30,16231
2025-06-26,16233
2025-06-25,16292
2025-06-24,16370
2025-06-23,16484
2025-06-20,16399
2025-06-19,16378
2025-06-18,16319
2025-06-17,16281
2025-06-16,16296
2025-06-13,16293
2025-06-12,16237
2025-06-11,16265
2025-06-10,16276
2025-06-05,16277
2025-06-04,16305
2025-06-03,16288
2025-06-02,16297
2025-05-28,16300
2025-05-27,16255
2025-05-26,16207
2025-05-23,16289
2025-05-22,16313
2025-05-21,16413
2025-05-20,16406
2025-05-19,16455
2025-05-16,16424
2025-05-15,16535
2025-05-14,16568
2025-05-09,16532
2025-05-08,16497
2025-05-07,16533
2025-05-06,16472
2025-05-05,16421
2025-05-02,16493
2025-04-30,16679
2025-04-29,16787
2025-04-28,16862
2025-04-25,16829
2025-04-24,16884
2025-04-23,16880
2025-04-22,16862
2025-04-21,16808
2025-04-17,16833
2025-04-16,16845
2025-04-15,16815
2025-04-14,16773
2025-04-11,16805
2025-04-10,16779
2025-04-09,16943
2025-04-08,16849
2025-03-27,16566
2025-03-26,16588
2025-03-25,16622
2025-03-24,16561
2025-03-21,16501
2025-03-20,16481
2025-03-19,16528
2025-03-18,16432
2025-03-17,16379
2025-03-14,16392
2025-03-13,16428
2025-03-12,16453
2025-03-11,16430
2025-03-10,16326
2025-03-07,16336
2025-03-06,16315
2025-03-05,16371
2025-03-04,16443
2025-03-03,16506
2025-02-28,16575
2025-02-27,16431
2025-02-26,16387
2025-02-25,16316
2025-02-24,16303
2025-02-21,16300
2025-02-20,16344
2025-02-19,16357
2025-02-18,16275
2025-02-17,16208
2025-02-14,16285
2025-02-13,16365
2025-02-12,16364
2025-02-11,16380
2025-02-10,16350
2025-02-07,16325
2025-02-06,16330
2025-02-05,16308
2025-02-04,16365
2025-02-03,16453
2025-01-31,16312
2025-01-30,16259
2025-01-24,16200
2025-01-23,16276
2025-01-22,16327
2025-01-21,16331
2025-01-20,16372
2025-01-17,16373
2025-01-16,16378
2025-01-15,16311
2025-01-14,16265
2025-01-13,16281
2025-01-10,16194
2025-01-09,16238
2025-01-08,16201
2025-01-07,16169
2025-01-06,16193
2025-01-03,16217
2025-01-02,16236
2024-12-31,16157
2024-12-30,16162
2024-12-27,16251
