tanggal,beras,beras_kb1,beras_kb2,beras_km1,beras_km2,beras_ks1,beras_ks2,daging_ayam,daging_ayam_rs,daging_sapi,daging_sapi_k1,daging_sapi_k2,telur_ayam,telur_ayam_rs,bawang_merah,bawang_merah_sedang,bawang_putih,bawang_putih_sedang,cabai_merah,cabai_merah_besar,cabai_merah_keriting,cabai_rawit,cabai_rawit_hijau,cabai_rawit_merah,minyak_goreng,minyak_goreng_curah,minyak_goreng_merk1,minyak_goreng_merk2,gula_pasir,gula_pasir_premium,gula_pasir_lokal
01/ 01/ 2018,"11,050","9,600","9,350","11,450","10,800","12,700","12,350","35,650","35,650","115,850","121,250","110,400","25,200","25,200","21,900","21,900","22,400","22,400","37,100","36,400","37,750","41,700","33,750","49,650","13,000","11,350","14,050","13,650","13,550","15,450","11,600"
02/ 01/ 2018,"11,750","10,650","10,300","11,850","11,700","13,050","12,600","34,800","34,800","114,200","117,650","110,600","26,650","26,650","26,300","26,300","24,100","24,100","38,700","38,250","38,200","44,350","39,900","48,800","13,800","11,950","14,950","14,300","14,250","16,200","12,650"
03/ 01/ 2018,"11,750","10,650","10,350","11,850","11,700","13,050","12,600","34,750","34,750","113,650","117,250","109,400","26,450","26,450","26,300","26,300","24,150","24,150","38,950","38,450","38,550","45,000","41,000","48,550","13,850","12,000","14,950","14,300","14,250","16,150","12,650"
04/ 01/ 2018,"11,750","10,700","10,350","11,900","11,750","13,100","12,600","34,400","34,400","114,250","117,750","110,500","26,200","26,200","26,300","26,300","24,250","24,250","38,600","37,950","38,450","45,550","41,400","49,550","13,850","12,000","14,950","14,300","14,250","16,150","12,650"
05/ 01/ 2018,"11,800","10,700","10,350","11,900","11,750","13,100","12,600","34,550","34,550","114,250","117,750","110,500","26,100","26,100","26,350","26,350","24,150","24,150","38,450","37,800","38,250","45,500","41,700","49,350","13,800","12,000","14,950","14,300","14,250","16,150","12,650"
08/ 01/ 2018,"11,800","10,750","10,350","11,950","11,800","13,150","12,650","34,700","34,700","114,150","117,700","110,300","26,000","26,000","26,550","26,550","24,250","24,250","38,500","38,350","37,900","44,650","41,300","47,900","13,800","12,000","14,950","14,250","14,250","16,100","12,650"
09/ 01/ 2018,"11,850","10,750","10,400","11,950","11,800","13,150","12,650","34,950","34,950","114,150","117,750","110,450","25,900","25,900","26,400","26,400","24,200","24,200","38,800","38,750","38,150","44,650","41,300","48,200","13,800","11,950","14,950","14,250","14,200","16,100","12,650"
10/ 01/ 2018,"11,850","10,800","10,400","12,000","11,800","13,150","12,700","35,150","35,150","113,550","117,150","110,300","25,800","25,800","26,400","26,400","24,200","24,200","38,750","38,750","38,150","44,250","40,750","47,900","13,800","11,950","14,950","14,250","14,200","16,100","12,650"
11/ 01/ 2018,"11,900","10,800","10,500","12,050","11,850","13,200","12,700","35,150","35,150","113,900","117,400","110,300","25,750","25,750","26,300","26,300","24,250","24,250","39,000","38,850","38,500","44,250","40,600","47,900","13,800","11,950","14,950","14,250","14,250","16,150","12,650"
12/ 01/ 2018,"11,950","10,850","10,450","12,050","11,900","13,250","12,800","35,100","35,100","113,500","117,000","109,900","25,700","25,700","26,250","26,250","24,300","24,300","39,150","39,350","38,450","44,200","40,450","48,050","13,800","11,950","15,000","14,250","14,200","16,100","12,650"
15/ 01/ 2018,"11,950","10,900","10,500","12,100","11,950","13,250","12,800","34,700","34,700","113,800","117,250","110,050","25,350","25,350","26,150","26,150","24,200","24,200","40,150","40,650","39,250","44,250","41,050","47,650","13,800","11,950","15,000","14,250","14,200","16,100","12,650"
16/ 01/ 2018,"12,000","10,950","10,500","12,100","12,000","13,250","12,850","34,600","34,600","114,150","117,600","110,700","25,200","25,200","26,000","26,000","24,150","24,150","39,750","40,200","38,700","43,800","40,900","47,100","13,800","11,950","15,000","14,250","14,200","16,100","12,600"
17/ 01/ 2018,"12,000","10,950","10,500","12,150","12,000","13,300","12,850","34,400","34,400","114,150","117,600","110,650","25,100","25,100","25,800","25,800","24,200","24,200","39,700","40,150","38,650","43,600","40,850","46,350","13,800","11,950","15,000","14,250","14,150","16,050","12,600"
18/ 01/ 2018,"12,050","10,950","10,500","12,150","12,050","13,300","12,850","34,250","34,250","114,150","117,600","110,600","25,000","25,000","25,700","25,700","24,100","24,100","39,550","40,050","38,500","43,400","40,700","46,000","13,800","11,950","14,950","14,250","14,150","16,050","12,600"
19/ 01/ 2018,"12,050","10,950","10,550","12,200","12,050","13,350","12,900","34,600","34,600","114,150","117,600","110,600","24,850","24,850","25,850","25,850","24,150","24,150","39,700","40,300","38,650","43,150","40,850","45,200","13,800","11,950","14,950","14,250","14,150","16,050","12,550"
22/ 01/ 2018,"12,050","10,950","10,550","12,200","12,050","13,350","12,900","33,900","33,900","114,100","117,600","110,550","24,750","24,750","25,550","25,550","24,200","24,200","40,000","40,700","38,750","42,950","40,800","44,850","13,800","11,900","14,950","14,250","14,150","16,050","12,600"
23/ 01/ 2018,"12,050","10,950","10,550","12,200","12,100","13,350","12,900","33,750","33,750","114,150","117,550","110,650","24,800","24,800","25,400","25,400","24,100","24,100","40,150","40,650","38,950","43,000","40,950","44,600","13,800","11,900","14,950","14,250","14,150","16,050","12,600"
24/ 01/ 2018,"12,100","11,000","10,550","12,200","12,100","13,400","12,900","33,600","33,600","114,150","117,550","110,650","24,600","24,600","25,200","25,200","24,150","24,150","40,200","40,800","38,900","42,050","40,250","43,950","13,800","11,950","14,950","14,250","14,150","16,050","12,550"
25/ 01/ 2018,"12,100","11,000","10,600","12,250","12,100","13,400","12,950","33,350","33,350","114,400","117,950","110,800","24,550","24,550","25,200","25,200","24,100","24,100","40,300","40,650","38,950","41,850","40,150","43,500","13,800","11,950","14,950","14,250","14,150","16,050","12,550"
26/ 01/ 2018,"12,100","11,000","10,600","12,250","12,100","13,350","12,950","33,000","33,000","114,200","117,600","110,700","24,450","24,450","25,150","25,150","24,100","24,100","40,500","40,850","39,250","41,500","40,100","42,900","13,800","11,900","14,950","14,250","14,150","16,050","12,550"
29/ 01/ 2018,"12,100","11,000","10,550","12,250","12,100","13,350","12,950","32,350","32,350","114,150","117,550","110,700","24,200","24,200","25,100","25,100","23,900","23,900","40,700","40,850","39,650","41,450","39,950","42,750","13,800","11,900","14,950","14,250","14,150","16,050","12,550"
30/ 01/ 2018,"12,100","11,000","10,550","12,250","12,100","13,400","12,950","32,300","32,300","114,100","117,550","110,600","24,150","24,150","25,100","25,100","23,950","23,950","40,700","40,850","39,700","41,200","39,750","42,550","13,800","11,900","14,950","14,250","14,150","16,000","12,550"
31/ 01/ 2018,"12,100","11,000","10,550","12,250","12,100","13,400","12,950","32,100","32,100","114,150","117,700","110,500","24,000","24,000","25,050","25,050","23,950","23,950","40,450","41,000","39,500","41,150","39,900","41,900","13,800","11,900","14,950","14,250","14,100","15,950","12,550"
01/ 02/ 2018,"12,100","11,000","10,600","12,250","12,100","13,400","12,950","32,300","32,300","113,750","117,450","109,900","23,900","23,900","24,950","24,950","24,000","24,000","40,200","41,000","39,250","40,600","39,350","41,800","13,750","11,850","14,950","14,250","14,100","15,950","12,550"
02/ 02/ 2018,"12,100","11,000","10,650","12,250","12,150","13,400","12,950","32,400","32,400","114,000","117,500","110,400","23,850","23,850","25,050","25,050","24,050","24,050","39,800","40,700","38,900","40,300","39,250","41,200","13,750","11,850","14,950","14,200","14,100","15,950","12,550"
05/ 02/ 2018,"12,100","11,000","10,600","12,250","12,150","13,400","12,950","32,350","32,350","114,000","117,500","110,400","23,700","23,700","25,150","25,150","24,350","24,350","39,100","40,150","38,100","40,250","38,750","41,700","13,700","11,850","14,850","14,150","14,050","15,950","12,550"
06/ 02/ 2018,"12,100","11,000","10,600","12,250","12,100","13,400","12,950","32,500","32,500","114,000","117,500","110,400","23,550","23,550","25,050","25,050","24,500","24,500","39,050","39,900","38,200","40,300","38,650","41,700","13,750","11,850","14,950","14,200","14,100","15,950","12,550"
07/ 02/ 2018,"12,100","11,000","10,600","12,250","12,100","13,400","12,950","32,500","32,500","114,000","117,500","110,400","23,550","23,550","25,050","25,050","25,000","25,000","39,150","40,100","38,300","40,550","38,600","42,200","13,750","11,850","14,900","14,200","14,100","15,950","12,550"
08/ 02/ 2018,"12,100","11,000","10,600","12,250","12,100","13,400","12,950","32,400","32,400","113,950","117,500","110,350","23,550","23,550","25,200","25,200","25,500","25,500","39,300","40,350","38,400","40,550","38,250","42,450","13,750","11,850","14,900","14,200","14,100","15,950","12,550"
09/ 02/ 2018,"12,100","11,000","10,600","12,250","12,100","13,350","12,950","32,500","32,500","113,950","117,450","110,350","23,400","23,400","25,450","25,450","26,150","26,150","39,900","40,800","39,000","40,650","38,200","42,850","13,750","11,850","14,900","14,200","14,100","15,950","12,600"
12/ 02/ 2018,"12,100","11,000","10,600","12,250","12,150","13,400","12,950","32,450","32,450","114,000","117,550","110,200","23,450","23,450","25,600","25,600","28,150","28,150","40,850","41,950","39,700","41,600","38,300","44,800","13,750","11,850","14,900","14,200","14,100","15,950","12,600"
13/ 02/ 2018,"12,100","11,000","10,600","12,250","12,100","13,400","12,950","32,500","32,500","113,700","117,300","109,950","23,500","23,500","25,700","25,700","28,600","28,600","41,100","42,200","39,950","42,250","38,650","45,850","13,750","11,900","14,900","14,200","14,100","15,900","12,600"
14/ 02/ 2018,"12,100","11,000","10,600","12,250","12,100","13,400","12,950","32,400","32,400","113,700","117,300","109,950","23,350","23,350","25,750","25,750","29,050","29,050","41,350","42,750","40,150","42,600","38,650","46,600","13,750","11,850","14,900","14,150","14,100","15,900","12,600"
15/ 02/ 2018,"12,100","11,000","10,600","12,250","12,150","13,400","12,950","32,350","32,350","113,750","117,400","109,900","23,450","23,450","25,750","25,750","29,400","29,400","41,400","42,800","40,250","43,000","38,800","47,150","13,750","11,850","14,850","14,200","14,100","15,900","12,600"
16/ 02/ 2018,"12,350","11,250","10,800","12,600","12,200","13,950","13,300","28,950","28,950","116,100","120,400","111,800","21,450","21,450","23,650","23,650","31,850","31,850","39,500","38,200","41,400","48,000","46,550","48,600","13,100","11,050","14,400","13,850","13,250","14,400","12,050"
19/ 02/ 2018,"12,050","10,950","10,600","12,200","12,100","13,400","12,950","31,900","31,900","113,850","117,500","110,100","23,350","23,350","25,950","25,950","30,250","30,250","42,000","43,000","41,050","44,200","39,100","49,350","13,750","11,850","14,900","14,150","14,100","15,900","12,600"
20/ 02/ 2018,"12,050","10,950","10,600","12,200","12,100","13,350","12,950","31,850","31,850","113,800","117,400","110,050","23,300","23,300","26,000","26,000","30,400","30,400","41,800","43,050","40,800","44,400","38,900","49,750","13,750","11,900","14,900","14,150","14,100","15,900","12,600"
21/ 02/ 2018,"12,050","10,950","10,600","12,200","12,100","13,350","12,950","31,700","31,700","113,650","117,250","109,900","23,200","23,200","26,150","26,150","30,600","30,600","41,500","42,550","40,600","45,300","39,550","50,500","13,750","11,900","14,900","14,150","14,100","15,900","12,600"
22/ 02/ 2018,"12,050","10,950","10,600","12,200","12,050","13,350","12,950","31,550","31,550","113,650","117,300","109,900","23,200","23,200","26,250","26,250","30,800","30,800","41,050","42,500","39,950","45,400","39,500","50,900","13,750","11,900","14,900","14,150","14,100","15,900","12,550"
23/ 02/ 2018,"12,050","10,950","10,600","12,200","12,050","13,350","12,950","31,450","31,450","113,600","117,300","109,800","23,150","23,150","26,250","26,250","31,000","31,000","40,850","42,050","39,900","45,200","39,550","50,550","13,750","11,900","14,900","14,200","14,100","15,900","12,550"
26/ 02/ 2018,"12,050","10,950","10,550","12,150","12,050","13,350","12,950","31,350","31,350","113,700","117,400","109,850","23,150","23,150","26,400","26,400","31,200","31,200","40,250","41,400","39,400","45,350","39,450","50,950","13,750","11,900","14,900","14,150","14,100","15,900","12,550"
27/ 02/ 2018,"12,000","10,900","10,550","12,150","12,000","13,300","12,900","31,300","31,300","113,850","117,550","109,850","23,100","23,100","26,450","26,450","31,250","31,250","40,350","41,450","39,550","45,800","39,400","51,900","13,750","11,900","14,850","14,150","14,100","15,900","12,550"
